Consecutivo,id,neighbourhood_b,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,cleaning_fee,minimum_nights,availability_30,number_of_reviews,cancellation_policy,host_since,24-hour check-in,Air conditioning/central air conditioning,Amazon Echo/Apple TV/DVD player/game console/Netflix/projector and screen/smart TV (i.e. non-basic electronics),BBQ grill/fire pit/propane barbeque,Balcony/patio or balcony,Beach view/beachfront/lake access/mountain view/ski-in ski-out/waterfront (i.e. great location/views),Breakfast,Cable TV/TV,Coffee maker/espresso machine,Cooking basics,Dishwasher/Dryer/Washer/Washer and dryer,Elevator,Exercise equipment/gym/private gym/shared gym,"Family/kid friendly, or anything containing 'children'",Free parking on premises/free street parking/outdoor parking/paid parking off premises/paid parking on premises,Garden or backyard/outdoor seating/sun loungers/terrace,Host greets you,Hot tub/jetted tub/private hot tub/sauna/shared hot tub/pool/private pool/shared pool,Internet/pocket wifi/wifi,Long_term_stays_allowed,Pets allowed/cat(s)/dog(s)/pets live on this property/other pet(s),Private_entrance,Self_check-in,Smoking_allowed,"Step-free access/wheelchair accessible, or anything containing 'accessible'",Suitable_for_events,Unnamed: 27,total_paid_amount,host_days_active
13877,30824595,Roma Norte,Apartment,Private room,2,1,1,1,459,275,2,14,1,flexible,1/14/2014,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,,734,1987
13878,30825311,Del Valle,Apartment,Private room,2,1,1,1,669,0,1,29,5,flexible,10/10/2017,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,0,0,0,1,0,,669,622
13879,30825822,Narvarte,Apartment,Private room,2,1,1,1,593,200,1,29,0,flexible,2/23/2016,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,793,1217
13880,30826467,Juarez,Apartment,Private room,2,1.5,1,1,344,0,1,27,14,flexible,1/21/2017,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,,344,884
13881,30827114,Roma Norte,Apartment,Private room,2,1,1,1,344,250,2,14,22,moderate,2/14/2017,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,594,860
13882,30827986,Atlampa,House,Private room,2,2,1,1,306,97,1,29,2,flexible,8/9/2018,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,0,,403,319
13883,30828383,Santa Cruz Atoyac,Apartment,Entire home/apt,4,1,2,2,1529,0,2,0,3,strict,1/6/2016,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0,0,1,1,1,0,1,0,1,1,0,,1529,1265
13884,30828709,Narvarte,Apartment,Private room,1,2,1,1,210,150,2,4,0,moderate,4/15/2015,0,0,0,1,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,,360,1531
13885,30829489,Coyoacan,House,Entire home/apt,2,1,1,1,746,450,3,26,6,moderate,12/12/2013,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,,1196,2020
13886,30834587,Del Valle,Apartment,Entire home/apt,2,1,1,1,631,0,4,29,0,flexible,11/16/2015,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,0,,631,1316
